,region,fips,lat,lon,Y,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,time
18,AZ,04009,33.078864,-110.354901,3.7474556881570495,>2000m,Steep,14.0,-0.0742121751819362,9.8249135232,32.123671191985885,9.576923076923077,23.76923076923077,185.0,1.0,7.0,12.0,2001
19,AZ,04009,33.438412,-110.196764,0.6423212211279001,>2000m,Moderate,261.0,0.8232188144181154,3.8872290304,4.942103260305521,13.9,14.0,184.0,1.0,7.0,12.0,2001
20,AZ,04013,33.933412,-111.485251,3.08525138607435,>2000m,Steep,60.0,-0.2791145176460173,5.6125243776,7.413154890458282,15.2,33.666666666666664,185.0,1.0,7.0,12.0,2001
21,AZ,04013,33.967617,-113.068186,0.23638299792405,>2000m,Flat,0.0,0.8293534903457329,1.1736204864,7.413154890458282,5.233333333333333,10.333333333333334,973.0,3.0,7.0,25.0,2001
22,AZ,04013,33.482158,-111.05578,2.4045797867807504,>2000m,Steep,190.0,0.8875370241466873,23.4483969152,7.413154890458282,20.166666666666668,12.333333333333334,185.0,1.0,7.0,12.0,2001
23,AZ,04013,33.104288,-113.200516,0.13530368011655,500-1000m,Flat,0.0,0.8376778441575133,0.8030747776,2.4710516301527603,7.3,12.0,999.0,5.0,7.0,24.0,2001
26,AZ,04015,34.811599,-113.624053,4.1610818551364,>2000m,Flat,0.0,0.8210336566312857,10.7844388928,7.413154890458282,20.433333333333334,13.333333333333334,973.0,1.0,7.0,13.0,2001
27,AZ,04015,36.555624,-114.039977,4.102143286093651,>2000m,Steep,320.0,0.3669440475045115,13.5202696192,29.652619561833127,11.616666666666667,18.916666666666668,185.0,1.0,7.0,12.0,2001
28,AZ,04015,35.442413,-113.59112,0.5511407943344501,>2000m,Flat,0.0,0.7939647950839391,3.1547693696,12.355258150763802,8.92,10.4,184.0,1.0,7.0,11.0,2001
29,AZ,04015,35.435195,-114.187139,3.44452118245505,>2000m,Moderate,81.0,0.7074409444613875,14.0821372992,46.94998097290245,9.089473684210526,14.210526315789474,185.0,1.0,7.0,11.0,2001
30,AZ,04015,34.263934,-114.011788,3.861066352189,500-1000m,Flat,200.0,0.8694179165643909,91.3941888384,12.355258150763802,9.82,23.4,973.0,1.0,7.0,13.0,2001
31,AZ,04015,34.460565,-113.344939,0.9160248510265,>2000m,Steep,287.0,0.5478752163568762,8.467018803199998,9.88420652061104,13.375,8.0,184.0,1.0,7.0,12.0,2001
32,AZ,04015,36.702976,-113.753835,1.894043915553,>2000m,Gentle,297.0,0.7122874723227011,7.574940511999999,9.88420652061104,12.6,16.5,185.0,1.0,7.0,12.0,2001
33,AZ,04015,35.038652,-113.410274,0.27638369545445,>2000m,Gentle,326.0,0.6792954650836404,8.8288868416,9.88420652061104,8.075,7.5,185.0,2.0,7.0,11.0,2001
34,AZ,04015,34.767664,-113.730782,2.59359657047245,>2000m,Steep,316.0,0.2602381046462114,16.424557344,39.536826082444165,10.75625,8.8125,184.0,1.0,7.0,12.0,2001
35,AZ,04019,31.643889,-111.574362,0.5268191059082,>2000m,Flat,0.0,0.8420394473936966,1.720153024,14.826309780916564,6.083333333333333,10.0,973.0,2.0,7.0,13.0,2001
36,AZ,04019,31.623206,-111.300144,5.113212194389501,>2000m,Flat,216.0,0.8852451856337132,17.59868288,59.305239123666254,7.679166666666667,11.083333333333334,973.0,1.0,7.0,12.0,2001
37,AZ,04019,32.131372,-110.576603,2.6481383072441,>2000m,Gentle,283.0,0.8296857037997001,7.513967251199999,29.652619561833127,8.075000000000001,11.0,973.0,1.0,7.0,11.0,2001
38,AZ,04019,31.499082,-111.418441,1.4583875427001505,>2000m,Gentle,10.0,0.6904206306760257,3.7486388288,14.826309780916564,8.9,11.333333333333334,973.0,1.0,7.0,12.0,2001
39,AZ,04019,32.317011,-110.563952,2.3026583665223,>2000m,Moderate,160.0,0.9659553748312756,5.818630528,24.710516301527605,8.42,13.4,973.0,2.0,7.0,12.0,2001
40,AZ,04019,31.820059,-110.578902,1.40919805186045,>2000m,Flat,0.0,0.810858978183637,14.228854208,39.536826082444165,6.73125,7.5,973.0,2.0,7.0,12.0,2001
43,AZ,04019,31.813364,-110.847331,6.5143442789992,>2000m,Flat,280.0,0.8385579505035816,16.3066971328,24.710516301527605,13.11,13.5,973.0,1.0,7.0,24.0,2001
44,AZ,04019,31.820246,-111.424823,2.5727800400334004,>2000m,Flat,0.0,0.8403751333552161,23.803217216,44.47892934274969,7.083333333333333,10.333333333333334,973.0,1.0,7.0,21.0,2001
45,AZ,04019,31.771301,-110.997633,0.5551127000412001,>2000m,Flat,0.0,0.8501565343243,2.2420299584,12.355258150763802,7.359999999999999,9.2,973.0,2.0,7.0,11.0,2001
46,AZ,04019,32.452472,-110.842942,2.7768811759494003,>2000m,Steep,287.0,0.6012442277704606,7.1378889536,12.355258150763802,13.32,17.8,972.0,1.0,7.0,12.0,2001
47,AZ,04019,31.683689,-111.42636,2.7729766400527502,>2000m,Flat,0.0,0.8509606665592963,6.0796723008,7.413154890458282,11.733333333333334,15.666666666666666,973.0,1.0,7.0,13.0,2001
48,AZ,04019,31.776205,-111.264432,4.88715521315155,>2000m,Flat,260.0,0.8548463703780896,15.761817484800002,29.652619561833127,10.116666666666664,13.333333333333334,973.0,1.0,7.0,12.0,2001
49,AZ,04019,32.001718,-111.426452,0.7628685489599,>2000m,Flat,0.0,0.8290208049192817,1.5915260736,7.413154890458282,8.200000000000001,15.0,999.0,5.0,7.0,12.0,2001
51,AZ,04021,33.440238,-111.056476,5.58440284565025,>2000m,Steep,35.0,-0.3769617666617645,19.3019167424,32.123671191985885,10.6,27.384615384615383,185.0,1.0,7.0,12.0,2001
53,AZ,04021,32.971116,-111.081099,1.42224581963475,>2000m,Flat,0.0,0.8389450252859465,4.5396842432,7.413154890458282,11.466666666666669,11.666666666666666,973.0,1.0,7.0,19.0,2001
54,AZ,04021,33.124789,-111.374543,0.12250963915675,1500-2000m,Flat,0.0,0.8374823673910359,0.8161601536,2.4710516301527603,6.7,13.0,999.0,5.0,7.0,11.0,2001
55,AZ,04021,32.805357,-111.852953,0.0529092064173,1000-1500m,Flat,0.0,0.8309324535108858,0.2279380671999999,2.4710516301527603,5.5,8.0,999.0,5.0,7.0,13.0,2001
57,AZ,04023,31.49651,-111.159357,2.9957392413877,>2000m,Moderate,198.0,0.9644824630379286,7.936854464,29.652619561833127,8.25,18.0,972.0,1.0,7.0,12.0,2001
58,AZ,04023,31.590255,-110.74165,8.1231399553641,>2000m,Moderate,80.0,0.7335644475900713,13.4150815616,42.00787771259693,9.611764705882353,17.41176470588235,973.0,1.0,7.0,12.0,2001
59,AZ,04023,31.596882,-111.005394,1.37360775112785,>2000m,Moderate,330.0,0.5390350648213154,3.8939553728,22.239464671374844,7.444444444444445,11.22222222222222,973.0,2.0,7.0,12.0,2001
60,AZ,04023,31.41383,-110.83843,1.19851643921995,>2000m,Moderate,156.0,0.964811508671852,8.2196592832,37.06577445229141,5.88,8.933333333333334,973.0,2.0,7.0,12.0,2001
61,AZ,04023,31.635311,-111.15913,2.10026809268375,>2000m,Moderate,251.0,0.862502147355314,5.3210878016,12.355258150763802,9.760000000000002,14.8,973.0,1.0,7.0,12.0,2001
62,AZ,04025,34.104148,-112.8982,0.52851630034075,>2000m,Flat,0.0,0.8280197442875639,2.1803220800000003,14.826309780916564,6.766666666666667,9.0,973.0,2.0,7.0,19.0,2001
63,AZ,04025,34.240706,-111.765739,4.258241343049001,>2000m,Gentle,180.0,0.9382474675387856,17.5640869824,39.536826082444165,10.61875,14.125,184.0,1.0,7.0,12.0,2001
64,AZ,04025,34.288684,-112.456375,5.362751690383799,>2000m,Moderate,269.0,0.7204345003163339,18.073199936,42.00787771259693,10.13529411764706,18.058823529411764,185.0,1.0,7.0,12.0,2001
68,AZ,04025,34.562118,-111.712378,2.943923041935549,>2000m,Gentle,289.0,0.7608578291200057,16.615672703999998,32.123671191985885,11.423076923076923,11.307692307692308,184.0,1.0,7.0,12.0,2001
69,AZ,04025,34.917753,-112.323837,2.79783092389435,>2000m,Flat,0.0,0.7994985809154493,13.1677449984,29.652619561833127,11.775,13.0,184.0,1.0,7.0,21.0,2001
70,AZ,04025,34.79431,-111.877858,4.46842430633725,>2000m,Moderate,29.0,0.5051194926846483,16.5032073408,44.47892934274969,8.68888888888889,14.72222222222222,185.0,1.0,7.0,12.0,2001
71,AZ,04003,32.145782,-109.707939,0.0489942903288,>2000m,Flat,0.0,0.8466970387455462,0.8961646016,4.942103260305521,5.05,3.0,973.0,3.0,7.0,13.0,2002
72,AZ,04003,31.855756,-110.153803,0.19740093559875,>2000m,Flat,0.0,0.810494197658696,0.766297984,4.942103260305521,6.9,9.0,999.0,5.0,7.0,11.0,2002
75,AZ,04003,31.993023,-110.26344,0.7200640429128001,>2000m,Flat,0.0,0.82910566023507,2.4300461504,9.88420652061104,8.75,9.5,973.0,1.0,7.0,13.0,2002
76,AZ,04003,32.041709,-110.41736,0.6583820332135,>2000m,Gentle,240.0,0.8736718324752973,1.3732528192,2.4710516301527603,13.5,14.0,999.0,5.0,7.0,21.0,2002
77,AZ,04003,32.345468,-109.568518,0.44249727010805,>2000m,Flat,0.0,0.8206960515662114,5.7348841216,9.88420652061104,9.625,5.5,973.0,1.0,7.0,13.0,2002
78,AZ,04003,32.129342,-110.362275,1.36201607062175,>2000m,Flat,0.0,0.8178551416210132,8.7302644288,39.536826082444165,6.85625,6.875,973.0,2.0,7.0,11.0,2002
79,AZ,04003,31.362426,-109.633497,0.45124551332485,>2000m,Flat,0.0,0.853892286624898,3.6276105792,22.239464671374844,7.111111111111111,4.333333333333333,973.0,2.0,7.0,13.0,2002
80,AZ,04007,34.2043,-111.432427,2.53241343093285,>2000m,Gentle,19.0,0.6862756965696275,6.7640833792,22.239464671374844,8.766666666666666,18.77777777777778,185.0,1.0,7.0,12.0,2002
81,AZ,04007,33.867961,-110.884459,4.5692709255971,>2000m,Steep,82.0,0.4979580223053062,17.151943552,54.36313586336073,8.631818181818183,14.772727272727272,972.0,1.0,7.0,12.0,2002
