,region,lat,lon,Y,X1,X2,X3,X4,X5,X6,X7,X8,X9
5150,Northwest,49.09999999999999,-122.20000000000016,14.368317,0.0,99478.44,-1.2190189,-0.17510986,-0.0027341992,3952.2466,515.43,4.281616,2.01062
5151,Northwest,49.09999999999999,-122.10000000000016,14.680817,0.0,99510.44,-1.5324955,0.116882324,-0.0025364086,3939.6816,514.2267,4.2425537,0.15722656
5152,Northwest,49.09999999999999,-122.00000000000016,14.147614,0.0,98354.44,-1.3723392,0.27313232,-0.0023669451,3925.1333,512.49554,4.159424,2.0274658
5153,Northwest,49.09999999999999,-121.90000000000018,13.942535,0.0,96267.44,-1.1701908,0.416687,-0.0023974553,3910.4517,510.71445,4.0161133,2.829834
5154,Northwest,49.09999999999999,-121.80000000000018,14.116364,0.0,93260.44,-0.9406986,0.5524292,-0.0026477426,3895.6729,508.90332,3.7941895,2.8304443
5155,Northwest,49.09999999999999,-121.7000000000002,13.256989,0.0,90449.44,-0.93190956,0.74871826,-0.0029155612,3879.7034,507.22723,3.7979736,2.0922852
5156,Northwest,49.09999999999999,-121.6000000000002,12.46402,0.0,88173.44,-0.9641361,0.8307495,-0.003192097,3863.6477,505.58167,3.699829,1.7877197
5157,Northwest,49.09999999999999,-121.5000000000002,11.719879,0.0,86541.44,-1.0432377,0.7536011,-0.003449522,3846.8623,503.9539,3.4118652,2.7410889
5158,Northwest,49.09999999999999,-121.4000000000002,12.02066,0.0,86563.44,-1.1115971,0.5543823,-0.0036904514,3834.7483,502.42667,3.425537,2.0489502
5159,Northwest,49.09999999999999,-121.3000000000002,12.690582,0.0,87176.44,-1.1633549,0.37664795,-0.004312016,3823.389,500.9178,3.380127,1.2495117
5160,Northwest,49.09999999999999,-121.20000000000022,13.862457,0.0,88632.44,-1.1740971,0.29266357,-0.005933948,3812.5894,499.43222,3.1470947,0.31262207
5161,Northwest,49.09999999999999,-121.10000000000022,14.434723,0.0,88651.44,-1.1330814,0.322937,-0.008177333,3802.5278,497.95776,2.9434814,0.0
5162,Northwest,49.09999999999999,-121.00000000000024,14.48941,0.0,87778.44,-1.0520267,0.39715576,-0.009823449,3792.5771,496.4522,2.7589111,0.0
5163,Northwest,49.09999999999999,-120.90000000000023,13.655426,0.0,85597.44,-0.868433,0.52996826,-0.008526616,3782.5195,494.83444,2.6036377,0.0
5164,Northwest,49.09999999999999,-120.80000000000024,13.764801,0.0,85073.44,-0.72683144,0.6491089,-0.008181356,3776.264,493.17,2.4483643,0.0
5165,Northwest,49.09999999999999,-120.70000000000024,14.393707,0.0,85360.44,-0.59597206,0.77996826,-0.007790543,3769.8867,491.5639,2.3134766,0.0
5166,Northwest,49.09999999999999,-120.60000000000024,15.14566,0.0,85809.44,-0.48366737,0.9411011,-0.0070745125,3756.5,490.31223,2.2574463,0.0
5167,Northwest,49.09999999999999,-120.50000000000026,14.667145,0.0,84980.44,-0.35964394,1.0944214,-0.007079467,3743.4434,489.025,2.2398682,0.0
5168,Northwest,49.09999999999999,-120.40000000000026,13.378082,0.0,83413.44,-0.1887455,1.2155151,-0.007540494,3731.5518,487.55276,2.2384033,0.0657959
5169,Northwest,49.09999999999999,-120.30000000000028,12.192535,0.0,82750.44,0.34836388,1.0973511,-0.008334108,3728.7495,484.59222,2.2687988,1.0291748
5170,Northwest,49.09999999999999,-120.20000000000029,11.778473,0.0,82846.44,0.8864498,0.97821045,-0.0077535287,3725.9795,481.62778,2.3372803,1.4737549
5171,Northwest,49.09999999999999,-120.10000000000028,12.005035,0.0,83508.44,1.4245358,0.8600464,-0.006400354,3723.2388,478.65555,2.284668,1.5048828
5172,Northwest,49.09999999999999,-120.00000000000028,11.598785,0.0,82939.44,1.5212154,0.5709839,-0.006348267,3723.5022,474.225,2.2805176,1.8105469
5173,Northwest,49.09999999999999,-119.90000000000028,11.829254,0.0,83402.44,1.4831295,0.28485107,-0.0062570795,3729.1572,468.0961,2.2509766,1.9064941
5174,Northwest,49.09999999999999,-119.8000000000003,12.735504,0.0,84979.44,1.2936764,-0.011047363,-0.006108828,3739.5684,460.33057,2.2072754,1.8687744
5175,Northwest,49.09999999999999,-119.7000000000003,16.860504,0.0,89457.44,1.1130123,-0.30889893,-0.0050720945,3753.8655,452.24277,3.300293,1.6594238
5176,Northwest,49.09999999999999,-119.6000000000003,19.780426,0.0,92448.44,0.8639889,-0.57940674,-0.005373284,3768.649,444.0311,3.9742432,1.4476318
5177,Northwest,49.09999999999999,-119.50000000000033,20.58902,0.0,92939.44,0.5085201,-0.8040161,-0.007243544,3784.1921,435.62723,4.0720215,1.2854004
5178,Northwest,49.09999999999999,-119.40000000000032,17.815582,0.0,89761.44,0.053442,-0.98565674,-0.007705435,3800.4805,427.0589,3.2878418,2.0861816
5179,Northwest,49.09999999999999,-119.30000000000032,15.423004,0.0,87316.44,-0.37429237,-1.1526489,-0.007680036,3813.885,418.705,2.7286377,2.7321777
5180,Northwest,49.09999999999999,-119.20000000000032,14.960114,0.0,87202.44,-0.72683144,-1.2913208,-0.008207485,3821.0632,410.83,2.5914307,2.8249512
5181,Northwest,49.09999999999999,-119.10000000000034,16.383942,0.0,89612.44,-0.49440956,-1.2776489,-0.0073610917,3828.0688,406.76443,2.6436768,2.3173828
5182,Northwest,49.09999999999999,-119.00000000000034,17.829254,0.0,91695.44,-0.0793705,-1.1799927,-0.006645985,3836.9504,403.62054,2.6936035,1.8344727
5183,Northwest,49.09999999999999,-118.90000000000036,17.823395,0.0,91384.44,0.4020748,-0.989563,-0.0066480115,3851.7644,400.29333,2.8117676,1.8129883
5184,Northwest,49.09999999999999,-118.80000000000037,16.59488,0.0,90101.44,0.79465294,-0.8303833,-0.0068572834,3866.5906,397.65332,2.8742676,1.8361816
5185,Northwest,49.09999999999999,-118.70000000000036,15.296051,0.0,88877.44,1.0446529,-0.723938,-0.007155858,3881.5156,396.14056,2.8118896,1.8161621
5186,Northwest,49.09999999999999,-118.60000000000036,15.950348,0.0,89291.44,0.88254356,-0.76397705,-0.006674044,3896.6055,397.87,2.988037,1.5140381
5187,Northwest,49.09999999999999,-118.50000000000036,17.116364,0.0,90316.44,0.7067623,-0.80303955,-0.0063266903,3911.1423,399.57834,3.0013428,1.713623
5188,Northwest,49.09999999999999,-118.40000000000038,18.452301,0.0,91485.44,0.52902794,-0.8401489,-0.006124884,3924.2195,401.25278,2.9475098,2.0150146
5189,Northwest,49.09999999999999,-118.30000000000038,19.340973,0.0,91231.44,0.38840294,-0.864563,-0.0059514195,3926.8594,402.68723,2.935669,2.6762695
5190,Northwest,49.09999999999999,-118.2000000000004,18.042145,0.0,89833.44,0.32785606,-0.9446411,-0.0061113834,3929.2617,404.2739,2.9372559,1.869751
5191,Northwest,49.09999999999999,-118.1000000000004,15.405426,0.0,87684.44,0.31516075,-1.0569458,-0.0064062253,3931.146,405.93832,2.9908447,0.0
5192,Northwest,49.09999999999999,-118.0000000000004,14.475739,0.0,86640.44,0.2848873,-1.1790161,-0.006248966,3933.3928,407.64722,3.0860596,0.0
5193,Northwest,49.09999999999999,-117.9000000000004,14.993317,0.0,87076.44,0.15012169,-1.1917114,-0.006197013,3929.8523,408.15778,3.1738281,0.0
5194,Northwest,49.09999999999999,-117.8000000000004,16.842926,0.0,88818.44,-0.08522987,-1.0940552,-0.0062424093,3920.5356,407.46613,3.2572021,0.0
5195,Northwest,49.09999999999999,-117.7000000000004,18.768707,0.0,90174.44,-0.3791752,-0.9348755,-0.006101705,3907.93,406.1011,3.3822021,1.8208008
5196,Northwest,49.09999999999999,-117.60000000000042,19.710114,0.0,90671.44,-0.6203861,-0.7727661,-0.006233439,3897.2905,404.7028,3.4848633,2.1026611
5197,Northwest,49.09999999999999,-117.50000000000044,19.479645,0.0,90257.44,-0.78933144,-0.6067505,-0.0067805722,3889.3171,403.25888,3.5355225,0.20837402
5198,Northwest,49.09999999999999,-117.40000000000045,20.706207,0.0,90135.44,-0.665308,-0.52960205,-0.020604543,3874.9734,400.81332,3.4561768,0.0
5199,Northwest,49.09999999999999,-117.30000000000044,21.546051,0.0,89679.44,-0.44851112,-0.489563,-0.02618882,3858.0273,398.3261,3.3536377,0.0
5200,Northwest,49.09999999999999,-117.20000000000044,21.372223,0.0,88503.44,-0.149683,-0.49346924,-0.009855986,3837.7883,395.91556,3.2149658,0.0
5201,Northwest,49.09999999999999,-117.10000000000043,19.229645,0.0,85608.44,0.12570763,-0.50909424,-0.0061507374,3823.775,393.72,3.088379,0.7911377
5202,Northwest,49.09999999999999,-117.00000000000044,16.985504,0.0,83291.44,0.37961388,-0.5354614,-0.0071272403,3815.7783,391.73334,3.0794678,1.4741211
5203,Northwest,49.09999999999999,-116.90000000000046,15.397614,0.0,82995.44,0.59641075,-0.58135986,-0.008910023,3817.7673,390.085,3.2646484,1.4494629
5204,Northwest,49.09999999999999,-116.80000000000048,16.149567,0.0,85616.44,0.7848873,-0.64971924,-0.0070854574,3820.4417,388.2689,3.1096191,0.74279785
5205,Northwest,49.09999999999999,-116.70000000000049,17.712067,0.0,88740.44,0.91379356,-0.72198486,-0.005222097,3823.5632,386.22388,3.1258545,0.3116455
5206,Northwest,49.09999999999999,-116.60000000000048,19.653473,0.0,90672.44,0.8425045,-0.7962036,-0.0074056312,3827.8628,383.45667,3.947876,1.3127441
5207,Northwest,49.09999999999999,-116.50000000000048,19.385895,0.0,90544.44,0.39816856,-0.8587036,-0.007770106,3833.695,380.82944,3.880005,1.651123
5208,Northwest,49.09999999999999,-116.40000000000047,17.835114,0.0,89556.44,-0.17116737,-0.9182739,-0.0071219653,3840.061,378.23666,3.4036865,1.7956543
5209,Northwest,49.09999999999999,-116.3000000000005,15.33902,0.0,88491.44,-0.74245644,-0.9768677,-0.0061522126,3846.4067,375.65277,3.1601562,1.9234619
5210,Northwest,49.09999999999999,-116.2000000000005,14.135895,0.0,87542.44,-0.96315956,-0.96221924,-0.0058951974,3846.135,372.1611,3.060913,1.1964111
5211,Northwest,49.09999999999999,-116.1000000000005,13.727692,0.0,86697.44,-0.9651127,-0.8987427,-0.00594984,3841.6812,368.095,3.0656738,0.08898926
5212,Northern Rockies & Plains,49.09999999999999,-116.00000000000053,13.768707,0.0,86352.44,-0.9231205,-0.8255005,-0.005739197,3836.3877,363.94388,3.0269775,1.3829346
5213,Northern Rockies & Plains,49.09999999999999,-115.90000000000052,14.194489,0.0,86408.44,-0.84401894,-0.6838989,-0.005629644,3833.9583,358.52277,2.9592285,1.295166
5214,Northern Rockies & Plains,49.09999999999999,-115.80000000000052,14.969879,0.0,86754.44,-0.7297611,-0.489563,-0.0056438893,3833.646,352.11835,2.86792,0.0032958984
